"f1","f2","f3","f4"
0.999692435902773,0.0335930388288091,6.9286452361792e-17,0
6.21270976388785e-19,6.59066480970875e-17,1.07642061534263,0
2.166240993773e-18,7.20602404910171e-17,1.17740354965773,0
5.22010580048318e-21,6.12318799965819e-17,1.00002551886113,0
3.89174234004867e-33,6.35590747655577e-17,1.03803274525189,0
3.89174234004867e-33,6.35590747655577e-17,1.03803274525189,0
3.89174234004867e-33,6.35590747655577e-17,1.03803274525189,0
8.1419824891967e-35,4.81779010543944e-33,7.86943172686958e-17,1.28521817681358
6.21270976388785e-19,6.59066480970875e-17,1.07642061534263,0
5.71091251305516e-17,4.86715513127735e-17,1.2254681692302,0
3.67814691082143e-18,7.51189636071775e-17,1.22829607072702,0
3.89174234004867e-33,6.35590747655577e-17,1.03803274525189,0
3.89174234004867e-33,6.35590747655577e-17,1.03803274525189,0
3.89174234004867e-33,6.35590747655577e-17,1.03803274525189,0
2.49047756322753e-35,4.8769455495902e-33,7.96502341138301e-17,1.30082999921104
5.71091251305516e-17,4.86715513127735e-17,1.2254681692302,0
4.66575815502493e-17,4.68458560653792e-17,1.07980901174284,0
4.66575815502493e-17,4.68458560653792e-17,1.07980901174284,0
7.12058445311138e-18,6.08315068262227e-17,1.00026977679104,0
3.89174234004867e-33,6.35590747655577e-17,1.03803274525189,0
3.89174234004867e-33,6.35590747655577e-17,1.03803274525189,0
6.16076203588657e-17,1.63801938917143e-20,1.00616205924699,0
6.15664367034759e-17,1.47614603792911e-23,1.00548942133625,0
6.08189256730754e-17,7.15237911130365e-18,1.00012621290761,0
4.34308444043638e-17,4.31915809484879e-17,1.00034656580786,0
8.1418476010213e-35,4.81922786460407e-33,7.87177947096659e-17,1.28560160518461
1.00151576033467,0,0,1.51895435070253e-17
6.15664367034759e-17,1.47614603792911e-23,1.00548942133625,0
6.1575483752187e-17,2.04067828234182e-23,1.00563717573397,0
1.16578162958993e-33,4.23982118254073e-33,7.18136566073414e-17,1.17284474938724
1.000054444338,0,0,1.51673803781081e-17
6.1575483752187e-17,2.04067828234182e-23,1.00563717573397,0
1.16578162958993e-33,4.23982118254073e-33,7.18136566073414e-17,1.17284474938724
1.00016707256015,0,0,1.51690885601939e-17
1.16578162958993e-33,4.23982118254073e-33,7.18136566073414e-17,1.17284474938724
6.24856382747595e-35,4.9018774215245e-33,8.00628814512919e-17,1.30756926421933
0.999692435902773,0.0335930388288091,6.9286452361792e-17,0
6.1716919965079e-17,1.00794708066705,6.98191550632778e-17,0
6.12305917799234e-17,1.00000447635771,6.92689814157556e-17,0
6.12305917782376e-17,1.00000447633018,6.92689814138485e-17,0
6.12305917782376e-17,1.00000447633018,6.92689814138485e-17,0
