"f1","f2","f3","f4","f5","f6"
4.69744438512634e-05,1.20193346938471e-05,3.61805340891221e-06,0.0110471481886087,1.00046489983623,0
1.23751725851131e-16,1.36234063960903e-18,1.77645227115692e-19,2.02186449005126e-17,2.04800575468794,0
1.30078217346494e-18,2.77187704210157e-18,7.3986545854517e-19,6.79441961125233e-17,1.11084150320094,0
3.78716163487695e-33,1.29089382091339e-33,2.61879021892153e-34,6.54853023005698e-17,1.06949146713423,0
3.77870913284636e-33,1.1667571187251e-33,8.13342971970134e-35,6.46015892108201e-17,1.05505886049306,0
4.77074717324611e-36,4.42565111064567e-35,2.07083012544722e-35,4.69327470081804e-33,7.66537174053534e-17,1.2518915513723
4.93685137936741e-17,1.87512237590074e-17,4.08941522276283e-18,1.13329030501146e-14,185.08848650727,0
1.23751725851131e-16,1.36234063960903e-18,1.77645227115692e-19,2.02186449005126e-17,2.04800575468794,0
3.78716163487695e-33,1.29089382091339e-33,2.61879021892153e-34,6.54853023005698e-17,1.06949146713423,0
3.78716163487695e-33,1.29089382091339e-33,2.61879021892153e-34,6.54853023005698e-17,1.06949146713423,0
4.77074717324611e-36,4.42565111064567e-35,2.07083012544722e-35,4.69327470081804e-33,7.66537174053534e-17,1.2518915513723
2.65882115997136e-16,4.4311975155814e-21,1.83275416806634e-19,2.5445032720816e-18,4.34252776154774,0
4.95608696288668e-33,1.02800337440268e-33,5.47759725455756e-35,8.26694398944581e-17,1.35013899995572,0
4.95608696288668e-33,1.02800337440268e-33,5.47759725455756e-35,8.26694398944581e-17,1.35013899995572,0
7.16214787705333e-33,2.86851174644607e-32,7.36712914490435e-33,6.67284826755191e-31,1.09093035908432e-14,178.168332326415
4.96018200005678e-33,1.03957432761361e-33,2.80526124915627e-35,8.27699109130286e-17,1.35177987039963,0
5.21436368802217e-33,1.06642601281069e-33,1.17490598524859e-36,8.69225909478509e-17,1.41960052185812,0
